"full_text";"location";"username"
"Ketua Umum Pengurus Besar Nahdaltul Ulama (PBNU) Yahya Cholil Staquf menyampaikan permohonan maaf atas tindakan lima orang aktivis NU yang bertemu dengan Presiden Israel Isaac Herzog. Pertemuan tsb diabadikan dalam sebuah Foto dan menjadi viral pada Minggu (14/07). Pertemuan lima https://t.co/pPmvzMlwIv";;"RadioElshinta"
"@tvOneNews Tanpa mandat PBNU mana bisa mereka ke negeri Netanyahu ";"Hong Kong";"paijomarkucel"
"@alisyarief Ketum pbnu paling parah dalam sejarah NU penghianat negara dan umat";"Lampung, Indonesia";"Penakluksukma77"
"@OposisiCerdas Halo @Staquf @PBNU_164 @NUgarislucu ada jejak digital nih ";"indonesia";"ballambinlove"
"@OposisiCerdas Katanya ke 5 orang Itu pergi tidak atas sepengetahuan PBNU sehingga mereka tidak mewakili organisasi PBNU . Kenapa sekarang yg minta maaf Ketua PBNU nya . Ini jadi tidak konsisten dgn pernyataan PBNU sebelumnya. Sepertinya untuk menutup ses";;"kangsurya85"
"@hhsahal Netanyahu United Itu milik PBNU Atau Nu cabang israel ?";"Surakarta, Jawa Tengah";"AzizHidayat28"
"Grafik Tingkat Kepercayaan Nahdiyin Akar rumput ke pengurus besar... ex-Ketua PWNU jatim dukung paslon no.1 = langsung pecat. 5 orng akatsuki ke Israhell... bawa' NU... bawa' Indonesia... = Sanksinya abu'. blm lg mslh kabib' pemalsu sejarah/makam dr PBNU tdk ada tindakan https://t.co/hDQCUl7nMy";;"UseKidd"
"Ketua Umum PBNU KH Yahya Cholil Staquf memohon maaf dan memohonkan maaf atas lima warga NU yang bertemu Presiden Israel Isaac https://t.co/Z2ZrT7YiQt";;"arinadotid"
"@Dennysiregar7 Bukan NU bang... tp pengurus PBNU.";"Purwokerto";"baworngapak"
"@NUgarislucu @Mas_streaming Tak habis-habis upaya mereka untuk memperburukkan pahaman Islam Nusantara yang moderat-progresif (dengan tetap mempertahankan akar tradisi berzaman yang baik) yang dibawa Gus Dur sejak jadi Ketua PBNU Setiap ada momen kelemahan";;"zakyarin97"
"Masalah sebenarnya: tidak ada sikap tegas terhadap Israel dari PBNU secara RESMI. Dukung Two State Solution itu jelas sikap negara. Tapi ketegasan NU terhadap kejahatan kemanusiaan itu sangat dibutuhkan saat ini. Berani/gak? Jangan cuma berani menyalahkan anak2 mudanya. ";;
"@HisyamMochtar Jujur meskipun ak nakal tp ak lht kalian tmbh makin benci bgt gk mikir ank2 palestine dibasmi kyk gini anggota pbnu najisssssss";;"KasNadi459749"
"Yang jelas jelas terbukti ya melalui ketua PBNU nya nauzubillahminjalik";;"AgusPan49950683"
"PBNU Minta Maaf Atas Lawatan Lima Nahdliyin ke Israel https://t.co/kHkUhiZrRP";;"infoinajahh"
"@Generasi_MudaNU Seharus penyataan nya gak cuman menjelaskan tanpa sepengetahuan NU tolong dijelaskan motif mereka kesana dan tindakan apa yang PBNU lakukan. Kalau memang kejadian ini penting harusnya tindak cepat gak usah bertele-tele.";;"suyatmohari"
"@geloraco Di PBNU sekarang banyak Org2 gak layak karena Org2 nya Yahya Sipul dan Yaqut ya masuklah dlm Kepengurusan jadi nya ya jualan sana sini Astagfirullah";;"surabaya_s53211"
"@Generasi_MudaNU Halah sok cuci tangan. Lawong yg sekarang jadi PBNU aja dulu suka ke sana. https://t.co/CetiVcpY8I";;"Cahkopl40415191"
"@Mythicalforest @panjianom102 Walau gak mengatasi naskah NU lha saiki ketua PBNU... aneh";"Amsterdam, Nederland";"rmiryanti"
"@NUgarislucu tapi iki Penghianat jelas jelas eh malah cari kambing hitam banyolan PBNU";"Sumbawa";"baharudin_hadi"
"@Generasi_MudaNU Sebaiknya NU introspeksi diri siapa tahu ini teguran dari Yg Maha Kuasa krn NU nampak terlalu berpikir al-Duny contoh masalah NU minat mengelola tambang padahal agama lain menolak jd ini harusnya jd bahan koreksi PBNU..jangan terlalu men";;"Jojobetako2"
"@nu_online Please untuk warga NU saatnya anda bergerak PBNU perlu restrukturisasi besar besaran. Liberal antek zionis buzzeRp munafiqun udah masuk. Saatnya yang bagian akar berkumpul dan mengarahkan kembali sesuai visi misi demi kemaslahatan umat";;"arysandysendy"
"@MasMasBiassaa Sampean kritik iku salah sasaran. Aku iki yo podo karo awakmu. Dadi wong cilik seng kebetulan gawe akun garis lucu. La lapo takon israel barang. Wes gamblang iku penjajah. Aku yo ra budal mrono lapo mbok takoi? Luru tanggapan iku yo teko PB";;"NUgarislucu"
"@tvOneNews Jualan tambang d israel...dk usah resek pbnu semua demi lo";"Jkt";"hariany47864956"
"@VIVAcoid @agnosticjack Penghianat memang @YahyaCStaquf sama kek bangke Abu Janda PBNU";"Sumbawa";"baharudin_hadi"
"@msaid_didu Ya klo Ketua PBNU gak ijinkan mana mungkin bisa berangkat..";"Tangerang, Indonesia";"iwannurdin"
"@Generasi_MudaNU ambil tindakan bukan nya klarifikasi sana sini katanya ormas muslim terbesar ada saudara muslim terbantai disana ehh ini senyum cengar cengir sama pelaku pembantaian tidak memakili PBNU tapi itu orang2nya NU kan tetap aja pasti bawa nama ";;"andriudin09"
"@zer0failed PBNU di Pimpin Gus Dur KH. Hasyim Muzadi KH. Said Aqil Sirodj dan GP Ansor di Pimpin Slamet Efendi Yusuf gak gini2 amat sekarang kerusakan nya sdh akut dan PBNU jadi Pasar Sapi hrs segera dilakukan pergantian menyeluruh dg menampilkan Kyai2 yg";;"surabaya_s53211"
"Rencana mereka secara TSM. Anehnya PBNU mingkem. Sangt miris warga Yaman kok bs mengacak² bangsa Indonesia yg sangt brdaulat. Pdhal Yaman saat ini sdang kacau prang sodara &amp; kemiskinn melanda. Semntara mrk ongkang² di Indonesia menkmati hsl kelicikn mrk mmbodohi warga Indonesia https://t.co/HINSD8O9a1";"Sampit";"0852_3195"
"Efek 5 Tokoh Muda Nahdliyin Logo PBNU Jadi Netanyahu United Ungkapan Warganet Kecewa: Astaghfirullah NU Gini Amat https://t.co/ouO9LTQi41";"Mojo nduwur - jombang";"permigran"
"@Minang_cyber Belum cukup umur kata ketua PBNU juga hehe";"depok";"mixdar_saepul"
"Parahnya..setelah itu jadi ketua PBNU. https://t.co/mSc96UuCtU";;"NovalAssegaf"
"@erlanishere Hanya mohon maaf? Belum cukup mundur dari jabatan ketua PBNU lebih tepat krn kejadian memalukan &amp; nir-otak yg dilakukan anggotanya terjadi di bawah kepemimpinan dia dia gagal jd ketua yg amanah!";"Jakarta";"DitriRizki_D3"
"@tempodotco PBNU maksudnya? Gus Dur aja menerima medal of valor dari yayasan dari Israel dicium-cium segala medalinya.";;"roeljp"
"@sagegreen_92 Wegah.. wong seng komen PBNU wae jek pancet begidak.";;"NUgarislucu"
"@Fchand30 @_deedejavu_ Itu sudah diklarifikasi... mrk ga seoengetahuan pbnu. Jangan gebyah uyah.";;"daraja_amron"
"@tvOneNews Ketua PBNU juga sekalian dipanggil..soalnya dia yang ketemu juga sama isriwil";;"andikarahandri"
"@Zeent29 @Arivrahmanovic @slump_76 @Generasi_MudaNU @muhammadiyah @PBNU_164 Udah kabur dia bang emng kocak si tolol @Arivrahmanovic";"Sleman, Indonesia";"benkbenkkkkk"
"@Arivrahmanovic @slump_76 @PeelotV @Generasi_MudaNU @muhammadiyah @PBNU_164 Lu cuma nyocot ormas lu ke israel kocak dasar sdm rendah";"Sleman, Indonesia";"benkbenkkkkk"
"@Arivrahmanovic @rizkysugi @slump_76 @Generasi_MudaNU @muhammadiyah @PBNU_164 Ormas lu yg gk jelas tolol";"Sleman, Indonesia";"benkbenkkkkk"
"@slump_76 @Generasi_MudaNU @muhammadiyah @PBNU_164 Mayan dapat tambang. Pancen asu";"Pati, Indonesia";"w_thop"
"@ucieamoi @DowatiW55368 @zer0failed Norak..dah baca berita resmi dari PBNU belum...?..cerdas dikit napa..?";"Pasar Kemis, Indonesia";"JossSudaryanto"
"@saidiman Gini lo kang kalau memang mau mewakili NU setidaknya ada komunikasi dg PBNU dan waktunya masih terlalu sensitif untuk melakukan hal semacam itu Aku yo kader IPNU KMNU ANSOR tapi yo kalau mengatas namakan NU yo kudu ada RESTU Bukan asal berangkat";;"gus_muslih"
"@AraituLaki Dan PBNU (bukan kultur NU-nya) sepertinya harus mulai dijauhi sejauh-jauhnya. Dah terlalu jauh mereka itu salah jalan";"Malang";"trieslove88"
"@Generasi_MudaNU Petinggi NU pergi tanpa sepengetahuan PBNU? Alasan macam apa ini? Kalau memang iya silahkan hukum orang-orang itu. Berani gak? Jangan cuma ditegur basi.";"P☀ntianak - Ind☀nesia";"Rizfhaaa"
"Bosan juga membaca dalih dari PBNU https://t.co/h2UCoYZP5j";;"oyen7393"
"@muchlis_ar Semua musuh PBNU pasti tololl ";;"Sukamandan17958"
"@GeiszChalifah PBNU = Penghianat Bangsa No Ukhuwah";;"Ma_unghideung"
"@50Kuasa Kenapa takut rusak Sebelum ini ketua umum PBNU jg pernah bertemu para pejabat Israel Tenang aja anggap aja piknik gratis";;"dela_pino"
"Ketua Umum PBNU Tegaskan Pertemuan Lima Tokoh NU dengan Presiden Israel Tidak Terkait Lembaga ";;
"@CNNIndonesia PBNU = Penghianat Bangsa No Uhkuwah";;"Ma_unghideung"
"Yakin itu mewakili Nahdliyyin ? 5 Nahdliyin Bertemu Presiden Israel PBNU: Rusak Citra NU di Mata Internasional https://t.co/klynOzHuGk";"Semarang Barat, Indonesia";"50Kuasa"
"@VIVAcoid Sampeyan bohong ngapusi Mbah @YahyaCStaquf jejak digitalmu jelas membawa nama besar PBNU !!";;"36Dpib12339"
"Pembangunan IKN Nusantara Langkah Transformasi Menuju Indonesia Maju onad gbla mpls seblak point coffee kopken enzo israel netanyahu united pbnu interpreter roscoe image wonu ";;
"Ciptakan Pertumbuhan Ekonomi IKN Menjadi Simbol Kebangkitan Nasional onad gbla mpls seblak point coffee kopken enzo israel netanyahu united pbnu interpreter roscoe image wonu ";;
